鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050601,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3,2,2,有,無,7800000,43721,坡道平面,36.07,1300000,,RPXRMLOLKHMFFBH66CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050401,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.12,3,2,2,有,無,6800000,42114,坡道平面,33.96,1150000,,RPSTMLOLKHMFFBH98CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.64,住,,,1050601,土地2建物1車位2,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.3,3,2,2,有,無,8550000,46586,坡道平面,72.14,2300000,,RPSUMLOLKHMFFBH09CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050301,土地2建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.63,3,2,2,有,無,7580000,43250,坡道平面,33.96,1150000,,RPTUMLOLKHMFFBH56CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050601,土地2建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3,2,2,有,無,7800000,43721,坡道平面,36.07,1300000,,RPUUMLOLKHMFFBH66CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050401,土地2建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.63,3,2,2,有,無,7600000,42712,坡道平面,33.96,1250000,,RPVUMLOLKHMFFBH76CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050501,土地2建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3,2,2,有,無,7800000,43721,坡道平面,36.07,1300000,,RPXUMLOLKHMFFBH96CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050501,土地2建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3,2,2,有,無,7770000,43856,坡道平面,36.07,1250000,,RPOVMLOLKHMFFBH78CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050501,土地2建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.63,3,2,2,有,無,8000000,45739,坡道平面,33.96,1200000,,RPPVMLOLKHMFFBH88CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050501,土地2建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3,2,2,有,無,8150000,46075,坡道平面,36.07,1300000,,RPQVMLOLKHMFFBH98CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050501,土地2建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3,2,2,有,無,8000000,45403,坡道平面,36.07,1250000,,RPRVMLOLKHMFFBH09CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050501,土地2建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3,2,2,有,無,8000000,45739,坡道平面,36.07,1200000,,RPSVMLOLKHMFFBH56CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050601,土地2建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3,2,2,有,無,8200000,46748,坡道平面,36.07,1250000,,RPTVMLOLKHMFFBH66CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050501,土地2建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3,2,2,有,無,8000000,45403,坡道平面,36.07,1250000,,RPUVMLOLKHMFFBH76CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,27.14,住,,,1050601,土地2建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.74,3,2,2,有,無,8080000,46277,坡道平面,36.07,1200000,,RPVVMLOLKHMFFBH86CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050501,土地2建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7050000,42942,坡道平面,36.07,1300000,,RPWVMLOLKHMFFBH96CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050501,土地2建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7200000,44063,坡道平面,36.07,1300000,,RPXVMLOLKHMFFBH07CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050601,土地2建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7050000,43316,坡道平面,36.07,1250000,,RPOWMLOLKHMFFBH88CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050601,土地2建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7250000,45183,坡道平面,36.07,1200000,,RPPWMLOLKHMFFBH98CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050701,土地2建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7330000,45407,坡道平面,36.07,1250000,,RPQWMLOLKHMFFBH09CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050401,土地2建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7320000,45332,坡道平面,36.07,1250000,,RPRWMLOLKHMFFBH56CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050301,土地2建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7500000,46303,坡道平面,36.07,1300000,,RPSWMLOLKHMFFBH66CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050701,土地2建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7360000,46004,坡道平面,36.07,1200000,,RPTWMLOLKHMFFBH76CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050701,土地2建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7500000,46303,坡道平面,36.07,1300000,,RPUWMLOLKHMFFBH86CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050801,土地2建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7360000,46004,坡道平面,36.07,1200000,,RPVWMLOLKHMFFBH96CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050801,土地2建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7500000,46677,坡道平面,36.07,1250000,,RPWWMLOLKHMFFBH07CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1051101,土地2建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7230000,48618,坡道平面,36.07,720000,,RPXWMLOLKHMFFBH17CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050701,土地2建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7380000,45407,坡道平面,36.07,1300000,,RPONNLOLKHMFFBH08CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050801,土地2建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.97,3,2,2,有,無,7380000,45780,坡道平面,36.07,1250000,,RPPNNLOLKHMFFBH18CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050401,土地2建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.12,3,2,2,有,無,6800000,42114,坡道平面,33.96,1150000,,RPQNNLOLKHMFFBH28CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050401,土地2建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.12,3,2,2,有,無,7000000,43232,坡道平面,33.96,1200000,,RPRNNLOLKHMFFBH38CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050701,土地2建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.23,3,2,2,有,無,7200000,43977,坡道平面,36.07,1300000,,RPSNNLOLKHMFFBH48CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050701,土地2建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.23,3,2,2,有,無,7300000,45095,坡道平面,36.07,1250000,,RPTNNLOLKHMFFBH58CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050901,土地2建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.12,3,2,2,有,無,7250000,45095,坡道平面,33.96,1200000,,RPUNNLOLKHMFFBH68CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050501,土地2建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.23,3,2,2,有,無,7300000,45095,坡道平面,36.07,1250000,,RPVNNLOLKHMFFBH78CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050901,土地2建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.12,3,2,2,有,無,7400000,46586,坡道平面,33.96,1150000,,RPWNNLOLKHMFFBH88CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050401,土地2建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.23,3,2,2,有,無,7600000,46959,坡道平面,36.07,1300000,,RPXNNLOLKHMFFBH98CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050601,土地2建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.23,3,2,2,有,無,7500000,46213,坡道平面,36.07,1300000,,RPOONLOLKHMFFBH18CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1051101,土地2建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.31,3,2,2,有,無,7450000,46558,坡道平面,36.07,1200000,,RPQONLOLKHMFFBH38CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050801,土地2建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.2,3,2,2,有,無,7530000,47527,坡道平面,33.96,1150000,,RPRONLOLKHMFFBH48CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050901,土地2建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.31,3,2,2,有,無,7580000,46782,坡道平面,36.07,1300000,,RPSONLOLKHMFFBH58CB
中壢區,房地(土地+建物)+車位,後興段481~510地號,24.29,住,,,1050901,土地2建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.31,3,2,2,有,無,7500000,46186,坡道平面,36.07,1300000,,RPTONLOLKHMFFBH68CB
